,label,comment,label doc,comment doc,comment not empty
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Property,,property ,,False
http://www.w3.org/2000/01/rdf-schema#Class,Class,,class ,,False
http://www.w3.org/2000/01/rdf-schema#Resource,rdfs:Resource,,rdfs resource ,,False
http://www.w3.org/2002/07/owl#SymmetricProperty,SymmetricProperty,,symmetric property ,,False
http://www.w3.org/2002/07/owl#TransitiveProperty,TransitiveProperty,,transitive property ,,False
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,List,,list ,,False
http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,Statement,,statement ,,False
http://www.w3.org/2000/01/rdf-schema#Literal,"string, URI, dateTime, text",,string uri date time text ,,False
http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt,Alt,,alt ,,False
http://www.w3.org/2000/01/rdf-schema#Container,Container,,container ,,False
http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag,Bag,,bag ,,False
http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq,Seq,,seq ,,False
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,ContainerMembershipProperty,,container membership property ,,False
http://www.w3.org/2000/01/rdf-schema#Datatype,Datatype,,datatype ,,False
http://www.w3.org/2001/XMLSchema#string,String,,string ,,False
http://commontag.org/ns#ReaderTag,Reader Tag,,reader tag ,,False
http://commontag.org/ns#AutoTag,Auto Tag,,auto tag ,,False
http://commontag.org/ns#Tag,Tag,,tag ,,False
http://commontag.org/ns#AuthorTag,Author Tag,,author tag ,,False
http://commontag.org/ns#TaggedContent,Tagged Content,,tagged content ,,False
http://code-research.eu/ontology/visual-analytics#Axis,Axis,,axis ,,False
http://code-research.eu/ontology/visual-analytics#One,Occurence one,,occurence one ,,False
http://code-research.eu/ontology/visual-analytics#Mandatory,Mandatory Persistence ,,mandatory persistence ,,False
http://code-research.eu/ontology/visual-analytics#SupportedDimension,Supported dimension,,supported dimension ,,False
http://code-research.eu/ontology/visual-analytics#ChartName,Chart Name,,chart name ,,False
http://code-research.eu/ontology/visual-analytics#DataType,Data type,,data type ,,False
http://code-research.eu/ontology/visual-analytics#Symbol,Symbol,,symbol ,,False
http://code-research.eu/ontology/visual-analytics#Dashboard,Dashboard,,dashboard ,,False
http://code-research.eu/ontology/visual-analytics#Persistence,Persistence,,persistence ,,False
http://code-research.eu/ontology/visual-analytics#VisualChannel,Visual channel,,visual channel ,,False
http://code-research.eu/ontology/visual-analytics#Size,Size,,size ,,False
http://code-research.eu/ontology/visual-analytics#Optional,Optional Persistence,,optional persistence ,,False
http://code-research.eu/ontology/visual-analytics#Color,Color,,color ,,False
http://code-research.eu/ontology/visual-analytics#Mapping,Mapping,,mapping ,,False
http://code-research.eu/ontology/visual-analytics#ComponentMapping,Component mapping,,component mapping ,,False
http://code-research.eu/ontology/visual-analytics#Multiplicity,Occurence multiplicity,,occurence multiplicity ,,False
http://code-research.eu/ontology/visual-analytics#Chart,Chart,,chart ,,False
http://code-research.eu/ontology/visual-analytics#Occurrence,Occurrence,,occurrence ,,False
http://creativecommons.org/ns#Prohibition,Prohibition,,prohibition ,,False
http://creativecommons.org/ns#License,Licence,,licence ,,False
http://creativecommons.org/ns#Jurisdiction,Jurisdiction,,jurisdiction ,,False
http://creativecommons.org/ns#Work,Work,,work ,,False
http://creativecommons.org/ns#Requirement,Requirement,,requirement ,,False
http://creativecommons.org/ns#Permission,Permission,,permission ,,False
http://data.archiveshub.ac.uk/def/FindingAid,Finding Aid,,finding aid ,,False
http://data.archiveshub.ac.uk/def/Repository,Repository,,repository ,,False
http://data.archiveshub.ac.uk/def/GenreForm,Genre or Form,,genre form ,,False
http://data.archiveshub.ac.uk/def/EAD,EAD Document,,ead document ,,False
http://data.archiveshub.ac.uk/def/Creation,Creation,,creation ,,False
http://data.archiveshub.ac.uk/def/Family,Family,,family ,,False
http://data.archiveshub.ac.uk/def/Floruit,Floruit,,floruit ,,False
http://data.archiveshub.ac.uk/def/Level,Level,,level ,,False
http://data.archiveshub.ac.uk/def/BiographicalHistory,Biographical History,,biographical history ,,False
http://data.archiveshub.ac.uk/def/Function,Function,,function ,,False
http://data.archiveshub.ac.uk/def/ArchivalResource,Archival Resource,,archival resource ,,False
http://data.archiveshub.ac.uk/def/Extent,Extent,,extent ,,False
https://w3id.org/vocab/sdm#SPARQLRequest,SPARQL request,,sparql request ,,False
https://w3id.org/vocab/sdm#TripleStore,Triple store,,triple store ,,False
https://w3id.org/vocab/sdm#EndPointFeatureExtension,EndPoint feature extension,,end point feature extension ,,False
http://data.ign.fr/def/ignf#ProjectedCRS,Projected coordinate reference system,,projected coordinate reference system ,,False
http://data.ign.fr/def/ignf#GeodeticDatum,Geodetic datum,,geodetic datum ,,False
http://data.ign.fr/def/ignf#VerticalCS,Vertical coordinate system,,vertical coordinate system ,,False
http://data.ign.fr/def/ignf#Datum,Datum,,datum ,,False
http://data.ign.fr/def/ignf#CoordinateSystemAxis,Axis,,axis ,,False
http://data.ign.fr/def/ignf#OperationParameter,Operation parameter,,operation parameter ,,False
http://data.ign.fr/def/ignf#CompoundCRS,Compound coordinate reference system,,compound coordinate reference system ,,False
http://data.ign.fr/def/ignf#Extent,Extent,,extent ,,False
http://data.ign.fr/def/ignf#SingleOperation,Single coordinate operation,,single coordinate operation ,,False
